City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,293.58,76,100,1.79,PT,1689543428
1,port saint john's,-31.6229,29.5448,289.58,60,20,3.09,ZA,1689543428
2,ust'-kulom,61.6864,53.6902,287.01,71,100,0.27,RU,1689543428
3,port-aux-francais,-49.35,70.2167,275.05,54,82,10.25,TF,1689543428
4,gorzyce,50.6672,21.8401,293.53,85,7,3.24,PL,1689543429
5,kodiak,57.79,-152.4072,287.88,72,75,4.63,US,1689543429
6,ushuaia,-54.8,-68.3,274.96,75,20,1.54,AR,1689543429
7,fort bragg,35.139,-79.006,307.29,53,20,4.63,US,1689543429
8,papatowai,-46.5619,169.4708,283.44,74,48,7.06,NZ,1689543429
9,kelibia,36.8476,11.0939,301.29,89,0,1.03,TN,1689543430
10,saguenay,48.4168,-71.0657,294.31,95,100,6.69,CA,1689543430
11,grand falls-windsor,48.9332,-55.6649,301.21,62,100,3.92,CA,1689543430
12,forster,-32.1667,152.5167,284.98,100,94,0.57,AU,1689543430
13,puerto natales,-51.7236,-72.4875,273.57,88,100,2.87,CL,1689543431
14,columbia,34.0007,-81.0348,307.86,53,20,2.57,US,1689543190
15,egilsstadir,65.2653,-14.3948,281.1,81,75,4.12,IS,1689543431
16,isafjordur,66.0755,-23.124,282.59,60,15,2.43,IS,1689543431
17,ebon,4.582,168.6964,301.15,77,95,4.96,MH,1689543431
18,yellowknife,62.456,-114.3525,296.44,46,75,8.23,CA,1689543432
19,ardesen,41.1911,40.9875,293.87,65,9,4.41,TR,1689543432
20,waitangi,-43.9535,-176.5597,283.61,96,95,1.79,NZ,1689543432
21,grytviken,-54.2811,-36.5092,266.96,74,19,2.09,GS,1689543432
22,callao,-12.0667,-77.15,295.31,64,100,6.17,PE,1689543433
23,touros,-5.1989,-35.4608,298.42,78,28,6.55,BR,1689543433
24,edinburgh of the seven seas,-37.0676,-12.3116,286.1,74,7,12.49,SH,1689543433
25,pavilosta,56.8879,21.1859,287.1,79,27,5.22,LV,1689543434
26,taulaga,-11.0553,-171.0883,301.22,76,76,7.44,AS,1689543434
27,acarau,-2.8856,-40.12,299.32,79,57,6.37,BR,1689543434
28,adamstown,-25.066,-130.1015,293.86,76,100,1.63,PN,1689543434
29,klaksvik,62.2266,-6.589,281.66,88,100,9.2,FO,1689543435
30,el granada,37.5027,-122.4694,311.99,65,20,8.75,US,1689543435
31,shingu,33.7333,135.9833,299.79,81,10,2.48,JP,1689543435
32,kill devil hills,36.0307,-75.676,305.15,78,40,4.63,US,1689543436
33,anadyr,64.75,177.4833,295.43,53,0,2.0,RU,1689543436
34,vila velha,-20.3297,-40.2925,297.12,77,0,3.09,BR,1689543225
35,remire-montjoly,4.9167,-52.2667,298.17,88,75,1.54,GF,1689543260
36,rudolstadt,50.7167,11.3333,292.27,54,6,2.17,DE,1689543437
37,bredasdorp,-34.5322,20.0403,285.79,85,89,3.0,ZA,1689543437
38,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,75,2.0,RU,1689543437
39,albany,42.6001,-73.9662,300.51,81,100,0.89,US,1689542736
40,avarua,-21.2078,-159.775,296.18,73,40,1.03,CK,1689543437
41,lusambo,-4.9667,23.45,301.12,35,99,0.97,CD,1689543438
42,labrador city,52.9463,-66.9114,297.1,53,75,3.6,CA,1689543438
43,blackmans bay,-43.0167,147.3167,284.22,69,33,5.93,AU,1689543438
44,whitehorse,60.7161,-135.0538,298.2,30,20,6.71,CA,1689543386
45,machico,32.7,-16.7667,295.5,70,20,5.66,PT,1689543439
46,puerto ayora,-0.7393,-90.3518,304.13,90,53,2.24,EC,1689543439
47,iqaluit,63.7506,-68.5145,282.0,93,100,4.12,CA,1689543439
48,lihue,21.9789,-159.3672,300.73,70,100,5.66,US,1689543404
49,hawaiian paradise park,19.5933,-154.9731,300.95,73,40,3.09,US,1689543440
50,hammerfest,70.6634,23.6821,292.4,55,0,5.14,NO,1689543440
51,kisangani,0.5167,25.2,297.23,68,41,0.42,CD,1689543440
